categorical_imdb_score,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,facenumber_in_poster,num_user_for_reviews,budget,title_year,actor_2_facebook_likes,movie_facebook_likes,return_investment,Animation,Biography,Comedy,Documentary,Drama,History,Music,Musical,Mystery,War,director_Clint Eastwood,director_Martin Scorsese,director_Ridley Scott,director_Steven Spielberg,director_Woody Allen,actor_J.K. Simmons,actor_Johnny Depp,actor_Matt Damon,actor_Nicolas Cage,actor_Robert De Niro,aspect_1.37,aspect_1.78,aspect_1.85,aspect_2.35,aspect_Other,content_Other,content_PG,content_PG-13,content_R,color_ Black and White,color_Color,language_English,language_Other,country_Australia,country_Canada,country_France,country_Germany,country_Other,country_UK,country_USA
3,6.190315610771159,4.532600568421495,4.02535347644784,6.731018219813818,7.600902509542081,19.28476063219875,12.519261633449922,-9.210340371976182,6.059123429226629,19.03586638304314,7.606884580921418,6.907755378982132,10.571316927675886,-1.263346413939506,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
3,5.774551856103367,4.804021864405052,6.52356245299238,4.653961302538022,6.90575337651186,18.686643342030656,10.889434937412199,1.3863193608073958,6.068425819725565,19.03586638304314,7.608870678794433,4.779124333447311,10.308952663977626,-9.210340371976182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
4,6.042633071212045,4.584968499078214,6.163315014560935,6.257667779453501,6.907755378982132,19.22629413531696,13.485389907385901,-9.210340371976182,6.949856550878045,19.00846740885504,7.604894530612415,6.59167386918286,9.680344007471918,-1.4127549528870325,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
3,5.087596952516145,4.510860605417345,6.040254949372624,5.153292172532294,5.590987353645115,18.75773031388534,11.704239799425102,0.693197179309987,5.398163154006339,18.757152980574293,7.604396398621947,5.590987353645115,-9.210340371976182,-7.297101005210418,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
2,5.905362120534097,5.062595665938159,6.65415264904919,5.736572620059785,6.907755378982132,18.92817382295498,12.554678119041778,-9.210340371976182,6.961296140696892,19.11382792451281,7.605392414590941,6.1484685095928375,9.472704644135982,-9.210340371976182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
3,5.480639340008572,4.56434923313396,-9.210340371976182,9.210340381976183,9.798127042433856,18.7416773918437,11.19559485429075,-9.210340371976182,5.517453298071053,19.11382792451281,7.605392414590941,9.546812615740253,-9.210340371976182,-9.210340371976182,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
2,5.950642813004359,4.844187873859856,-9.210340371976182,9.472704644135982,9.740968628920706,17.673612123719824,11.846486325503086,9.999500033329732e-05,6.57925135089898,18.985994553002993,7.608374524008574,9.615805486751015,10.691944915173126,-9.210340371976182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
3,5.513429149390707,4.700481274882912,5.64190742554798,4.634729959102951,9.305650560871417,18.636209447768582,10.654243048076436,0.693197179309987,5.476463970341465,19.00846740885504,7.608870678794433,9.210340381976183,10.275051112416888,-9.210340371976182,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
3,5.64897459027382,5.0106359607627,4.3820278846731,4.406720466775704,6.907755378982132,19.49127018469728,12.565514757675052,1.609457912234103,7.288244469372822,19.00846740885504,7.60339938961598,5.247024598476137,-9.210340371976182,-0.47689089208521623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
3,5.981414463779701,4.969813994020204,-9.210340371976182,6.907755378982132,10.434115806539475,18.858839457352182,11.907525090942,1.7917761357558344,6.43294025351087,18.99729410825692,7.608870678794433,9.472704644135982,10.896739327398263,-9.210340371976182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
